rating,"Total Population, All Races",American Indian & Alaska Native,Asian,Black or African American,Native Hawaiian & Other Pacific Islander,White (Not Hispanic or Latino),Some Other Race,Two or More Races,Hispanic or Latino,Estimated Median Income,Num of Mex Restaurants
4.5,"36,552",1.12%,37.44%,13.79%,0.26%,16.66%,15.47%,4.04%,28.63%,"$47,027 ",35
4.5,"36,552",1.12%,37.44%,13.79%,0.26%,16.66%,15.47%,4.04%,28.63%,"$47,027 ",35
4.5,"36,552",1.12%,37.44%,13.79%,0.26%,16.66%,15.47%,4.04%,28.63%,"$47,027 ",35
3.5,"36,552",1.12%,37.44%,13.79%,0.26%,16.66%,15.47%,4.04%,28.63%,"$47,027 ",35
3.5,"36,552",1.12%,37.44%,13.79%,0.26%,16.66%,15.47%,4.04%,28.63%,"$47,027 ",35
3.5,"36,552",1.12%,37.44%,13.79%,0.26%,16.66%,15.47%,4.04%,28.63%,"$47,027 ",35
4.5,"36,552",1.12%,37.44%,13.79%,0.26%,16.66%,15.47%,4.04%,28.63%,"$47,027 ",35
3.5,"36,552",1.12%,37.44%,13.79%,0.26%,16.66%,15.47%,4.04%,28.63%,"$47,027 ",35
4,"36,552",1.12%,37.44%,13.79%,0.26%,16.66%,15.47%,4.04%,28.63%,"$47,027 ",35
4,"36,552",1.12%,37.44%,13.79%,0.26%,16.66%,15.47%,4.04%,28.63%,"$47,027 ",35
3.5,"36,552",1.12%,37.44%,13.79%,0.26%,16.66%,15.47%,4.04%,28.63%,"$47,027 ",35
4.5,"36,552",1.12%,37.44%,13.79%,0.26%,16.66%,15.47%,4.04%,28.63%,"$47,027 ",35
4,"36,552",1.12%,37.44%,13.79%,0.26%,16.66%,15.47%,4.04%,28.63%,"$47,027 ",35
4,"36,552",1.12%,37.44%,13.79%,0.26%,16.66%,15.47%,4.04%,28.63%,"$47,027 ",35
4,"12,559",1.21%,17.65%,28.69%,0.70%,30.38%,6.32%,8.01%,15.80%,"$22,316 ",31
4.5,"12,559",1.21%,17.65%,28.69%,0.70%,30.38%,6.32%,8.01%,15.80%,"$22,316 ",31
4,"12,559",1.21%,17.65%,28.69%,0.70%,30.38%,6.32%,8.01%,15.80%,"$22,316 ",31
4.5,"12,559",1.21%,17.65%,28.69%,0.70%,30.38%,6.32%,8.01%,15.80%,"$22,316 ",31
4,"12,559",1.21%,17.65%,28.69%,0.70%,30.38%,6.32%,8.01%,15.80%,"$22,316 ",31
3.5,"12,559",1.21%,17.65%,28.69%,0.70%,30.38%,6.32%,8.01%,15.80%,"$22,316 ",31
4,"12,559",1.21%,17.65%,28.69%,0.70%,30.38%,6.32%,8.01%,15.80%,"$22,316 ",31
4,"12,559",1.21%,17.65%,28.69%,0.70%,30.38%,6.32%,8.01%,15.80%,"$22,316 ",31
4,"12,559",1.21%,17.65%,28.69%,0.70%,30.38%,6.32%,8.01%,15.80%,"$22,316 ",31
4.5,"12,559",1.21%,17.65%,28.69%,0.70%,30.38%,6.32%,8.01%,15.80%,"$22,316 ",31
4.5,"12,559",1.21%,17.65%,28.69%,0.70%,30.38%,6.32%,8.01%,15.80%,"$22,316 ",31
3.5,"8,688",0.49%,18.97%,23.48%,0.15%,38.10%,6.76%,5.18%,14.73%,"$40,641 ",31
4,"8,688",0.49%,18.97%,23.48%,0.15%,38.10%,6.76%,5.18%,14.73%,"$40,641 ",31
4.5,"8,688",0.49%,18.97%,23.48%,0.15%,38.10%,6.76%,5.18%,14.73%,"$40,641 ",31
3.5,"8,688",0.49%,18.97%,23.48%,0.15%,38.10%,6.76%,5.18%,14.73%,"$40,641 ",31
4.5,"8,688",0.49%,18.97%,23.48%,0.15%,38.10%,6.76%,5.18%,14.73%,"$40,641 ",31
4.5,"8,688",0.49%,18.97%,23.48%,0.15%,38.10%,6.76%,5.18%,14.73%,"$40,641 ",31
4.5,"8,688",0.49%,18.97%,23.48%,0.15%,38.10%,6.76%,5.18%,14.73%,"$40,641 ",31
3.5,"22,651",0.79%,15.76%,7.32%,0.04%,13.43%,33.60%,3.79%,62.05%,"$43,890 ",68
3,"22,651",0.79%,15.76%,7.32%,0.04%,13.43%,33.60%,3.79%,62.05%,"$43,890 ",68
4,"22,651",0.79%,15.76%,7.32%,0.04%,13.43%,33.60%,3.79%,62.05%,"$43,890 ",68
5,"22,651",0.79%,15.76%,7.32%,0.04%,13.43%,33.60%,3.79%,62.05%,"$43,890 ",68
4.5,"22,651",0.79%,15.76%,7.32%,0.04%,13.43%,33.60%,3.79%,62.05%,"$43,890 ",68
3.5,"22,651",0.79%,15.76%,7.32%,0.04%,13.43%,33.60%,3.79%,62.05%,"$43,890 ",68
4,"22,651",0.79%,15.76%,7.32%,0.04%,13.43%,33.60%,3.79%,62.05%,"$43,890 ",68
3.5,"22,651",0.79%,15.76%,7.32%,0.04%,13.43%,33.60%,3.79%,62.05%,"$43,890 ",68
3.5,"22,651",0.79%,15.76%,7.32%,0.04%,13.43%,33.60%,3.79%,62.05%,"$43,890 ",68
4,"22,651",0.79%,15.76%,7.32%,0.04%,13.43%,33.60%,3.79%,62.05%,"$43,890 ",68
4.5,"22,651",0.79%,15.76%,7.32%,0.04%,13.43%,33.60%,3.79%,62.05%,"$43,890 ",68
3.5,"22,651",0.79%,15.76%,7.32%,0.04%,13.43%,33.60%,3.79%,62.05%,"$43,890 ",68
5,"22,651",0.79%,15.76%,7.32%,0.04%,13.43%,33.60%,3.79%,62.05%,"$43,890 ",68
3,"22,651",0.79%,15.76%,7.32%,0.04%,13.43%,33.60%,3.79%,62.05%,"$43,890 ",68
2.5,"45,899",0.28%,5.32%,30.45%,0.11%,9.46%,17.67%,3.37%,52.42%,"$48,715 ",30
1.5,"45,899",0.28%,5.32%,30.45%,0.11%,9.46%,17.67%,3.37%,52.42%,"$48,715 ",30
4.5,"45,899",0.28%,5.32%,30.45%,0.11%,9.46%,17.67%,3.37%,52.42%,"$48,715 ",30
4.5,"45,899",0.28%,5.32%,30.45%,0.11%,9.46%,17.67%,3.37%,52.42%,"$48,715 ",30
3.5,"45,899",0.28%,5.32%,30.45%,0.11%,9.46%,17.67%,3.37%,52.42%,"$48,715 ",30
4.5,"45,899",0.28%,5.32%,30.45%,0.11%,9.46%,17.67%,3.37%,52.42%,"$48,715 ",30
3.5,"45,899",0.28%,5.32%,30.45%,0.11%,9.46%,17.67%,3.37%,52.42%,"$48,715 ",30
4,"45,899",0.28%,5.32%,30.45%,0.11%,9.46%,17.67%,3.37%,52.42%,"$48,715 ",30
4,"45,899",0.28%,5.32%,30.45%,0.11%,9.46%,17.67%,3.37%,52.42%,"$48,715 ",30
4.5,"27,723",1.30%,16.70%,8.36%,0.25%,10.81%,31.92%,3.13%,62.20%,"$35,605 ",24
3.5,"27,723",1.30%,16.70%,8.36%,0.25%,10.81%,31.92%,3.13%,62.20%,"$35,605 ",24
3,"27,723",1.30%,16.70%,8.36%,0.25%,10.81%,31.92%,3.13%,62.20%,"$35,605 ",24
3.5,"27,723",1.30%,16.70%,8.36%,0.25%,10.81%,31.92%,3.13%,62.20%,"$35,605 ",24
2.5,"27,723",1.30%,16.70%,8.36%,0.25%,10.81%,31.92%,3.13%,62.20%,"$35,605 ",24
3.5,"53,490",0.43%,5.01%,29.13%,0.29%,5.76%,34.10%,2.54%,59.00%,"$45,984 ",16
4,"53,490",0.43%,5.01%,29.13%,0.29%,5.76%,34.10%,2.54%,59.00%,"$45,984 ",16
2.5,"53,490",0.43%,5.01%,29.13%,0.29%,5.76%,34.10%,2.54%,59.00%,"$45,984 ",16
3.5,"64,534",0.47%,16.85%,18.63%,0.15%,16.80%,23.95%,3.34%,44.50%,"$56,389 ",44
4,"64,534",0.47%,16.85%,18.63%,0.15%,16.80%,23.95%,3.34%,44.50%,"$56,389 ",44
2.5,"64,534",0.47%,16.85%,18.63%,0.15%,16.80%,23.95%,3.34%,44.50%,"$56,389 ",44
3.5,"64,534",0.47%,16.85%,18.63%,0.15%,16.80%,23.95%,3.34%,44.50%,"$56,389 ",44
4.5,"64,534",0.47%,16.85%,18.63%,0.15%,16.80%,23.95%,3.34%,44.50%,"$56,389 ",44
3,"64,534",0.47%,16.85%,18.63%,0.15%,16.80%,23.95%,3.34%,44.50%,"$56,389 ",44
3,"64,534",0.47%,16.85%,18.63%,0.15%,16.80%,23.95%,3.34%,44.50%,"$56,389 ",44
4.5,"64,534",0.47%,16.85%,18.63%,0.15%,16.80%,23.95%,3.34%,44.50%,"$56,389 ",44
4,"64,534",0.47%,16.85%,18.63%,0.15%,16.80%,23.95%,3.34%,44.50%,"$56,389 ",44
4,"64,534",0.47%,16.85%,18.63%,0.15%,16.80%,23.95%,3.34%,44.50%,"$56,389 ",44
4,"64,534",0.47%,16.85%,18.63%,0.15%,16.80%,23.95%,3.34%,44.50%,"$56,389 ",44
4.5,"64,534",0.47%,16.85%,18.63%,0.15%,16.80%,23.95%,3.34%,44.50%,"$56,389 ",44
3.5,"39,189",0.92%,45.20%,6.77%,0.50%,12.40%,16.27%,3.02%,32.36%,"$49,068 ",17
4,"39,189",0.92%,45.20%,6.77%,0.50%,12.40%,16.27%,3.02%,32.36%,"$49,068 ",17
2.5,"39,189",0.92%,45.20%,6.77%,0.50%,12.40%,16.27%,3.02%,32.36%,"$49,068 ",17
4.5,"2,945",1.94%,5.70%,18.06%,0.00%,24.65%,28.35%,3.40%,47.95%,"$21,635 ",31
4,"2,945",1.94%,5.70%,18.06%,0.00%,24.65%,28.35%,3.40%,47.95%,"$21,635 ",31
4,"2,945",1.94%,5.70%,18.06%,0.00%,24.65%,28.35%,3.40%,47.95%,"$21,635 ",31
4,"2,945",1.94%,5.70%,18.06%,0.00%,24.65%,28.35%,3.40%,47.95%,"$21,635 ",31
4,"68,906",1.63%,14.75%,4.25%,0.25%,26.97%,30.03%,5.02%,51.40%,"$65,269 ",47
4,"68,906",1.63%,14.75%,4.25%,0.25%,26.97%,30.03%,5.02%,51.40%,"$65,269 ",47
1.5,"68,906",1.63%,14.75%,4.25%,0.25%,26.97%,30.03%,5.02%,51.40%,"$65,269 ",47
4,"68,906",1.63%,14.75%,4.25%,0.25%,26.97%,30.03%,5.02%,51.40%,"$65,269 ",47
4,"68,906",1.63%,14.75%,4.25%,0.25%,26.97%,30.03%,5.02%,51.40%,"$65,269 ",47
3.5,"68,906",1.63%,14.75%,4.25%,0.25%,26.97%,30.03%,5.02%,51.40%,"$65,269 ",47
4,"68,906",1.63%,14.75%,4.25%,0.25%,26.97%,30.03%,5.02%,51.40%,"$65,269 ",47
4,"68,906",1.63%,14.75%,4.25%,0.25%,26.97%,30.03%,5.02%,51.40%,"$65,269 ",47
4,"68,906",1.63%,14.75%,4.25%,0.25%,26.97%,30.03%,5.02%,51.40%,"$65,269 ",47
3,"68,906",1.63%,14.75%,4.25%,0.25%,26.97%,30.03%,5.02%,51.40%,"$65,269 ",47
4,"68,906",1.63%,14.75%,4.25%,0.25%,26.97%,30.03%,5.02%,51.40%,"$65,269 ",47
4.5,"68,906",1.63%,14.75%,4.25%,0.25%,26.97%,30.03%,5.02%,51.40%,"$65,269 ",47
3,"68,906",1.63%,14.75%,4.25%,0.25%,26.97%,30.03%,5.02%,51.40%,"$65,269 ",47
3,"68,906",1.63%,14.75%,4.25%,0.25%,26.97%,30.03%,5.02%,51.40%,"$65,269 ",47
4,"68,906",1.63%,14.75%,4.25%,0.25%,26.97%,30.03%,5.02%,51.40%,"$65,269 ",47
4.5,"68,906",1.63%,14.75%,4.25%,0.25%,26.97%,30.03%,5.02%,51.40%,"$65,269 ",47
4,"68,906",1.63%,14.75%,4.25%,0.25%,26.97%,30.03%,5.02%,51.40%,"$65,269 ",47
4,"68,906",1.63%,14.75%,4.25%,0.25%,26.97%,30.03%,5.02%,51.40%,"$65,269 ",47
3.5,"68,906",1.63%,14.75%,4.25%,0.25%,26.97%,30.03%,5.02%,51.40%,"$65,269 ",47
4.5,"68,906",1.63%,14.75%,4.25%,0.25%,26.97%,30.03%,5.02%,51.40%,"$65,269 ",47
2,"44,770",0.10%,13.15%,2.33%,0.21%,59.27%,14.04%,3.98%,22.02%,"$66,947 ",21
3.5,"44,770",0.10%,13.15%,2.33%,0.21%,59.27%,14.04%,3.98%,22.02%,"$66,947 ",21
2.5,"44,770",0.10%,13.15%,2.33%,0.21%,59.27%,14.04%,3.98%,22.02%,"$66,947 ",21
4.5,"44,770",0.10%,13.15%,2.33%,0.21%,59.27%,14.04%,3.98%,22.02%,"$66,947 ",21
3.5,"44,770",0.10%,13.15%,2.33%,0.21%,59.27%,14.04%,3.98%,22.02%,"$66,947 ",21
4,"44,770",0.10%,13.15%,2.33%,0.21%,59.27%,14.04%,3.98%,22.02%,"$66,947 ",21
3.5,"44,770",0.10%,13.15%,2.33%,0.21%,59.27%,14.04%,3.98%,22.02%,"$66,947 ",21
3.5,"44,770",0.10%,13.15%,2.33%,0.21%,59.27%,14.04%,3.98%,22.02%,"$66,947 ",21
4,"44,770",0.10%,13.15%,2.33%,0.21%,59.27%,14.04%,3.98%,22.02%,"$66,947 ",21
4,"44,770",0.10%,13.15%,2.33%,0.21%,59.27%,14.04%,3.98%,22.02%,"$66,947 ",21
4,"44,770",0.10%,13.15%,2.33%,0.21%,59.27%,14.04%,3.98%,22.02%,"$66,947 ",21
4.5,"44,770",0.10%,13.15%,2.33%,0.21%,59.27%,14.04%,3.98%,22.02%,"$66,947 ",21
4,"29,774",0.52%,10.03%,10.05%,0.03%,45.94%,18.05%,5.57%,29.56%,"$45,499 ",39
3,"29,774",0.52%,10.03%,10.05%,0.03%,45.94%,18.05%,5.57%,29.56%,"$45,499 ",39
2.5,"29,774",0.52%,10.03%,10.05%,0.03%,45.94%,18.05%,5.57%,29.56%,"$45,499 ",39
3.5,"29,774",0.52%,10.03%,10.05%,0.03%,45.94%,18.05%,5.57%,29.56%,"$45,499 ",39
4.5,"29,774",0.52%,10.03%,10.05%,0.03%,45.94%,18.05%,5.57%,29.56%,"$45,499 ",39
4,"29,774",0.52%,10.03%,10.05%,0.03%,45.94%,18.05%,5.57%,29.56%,"$45,499 ",39
4,"29,774",0.52%,10.03%,10.05%,0.03%,45.94%,18.05%,5.57%,29.56%,"$45,499 ",39
3.5,"29,774",0.52%,10.03%,10.05%,0.03%,45.94%,18.05%,5.57%,29.56%,"$45,499 ",39
4,"29,774",0.52%,10.03%,10.05%,0.03%,45.94%,18.05%,5.57%,29.56%,"$45,499 ",39
3.5,"29,774",0.52%,10.03%,10.05%,0.03%,45.94%,18.05%,5.57%,29.56%,"$45,499 ",39
4,"29,774",0.52%,10.03%,10.05%,0.03%,45.94%,18.05%,5.57%,29.56%,"$45,499 ",39
3.5,"29,774",0.52%,10.03%,10.05%,0.03%,45.94%,18.05%,5.57%,29.56%,"$45,499 ",39
4,"29,774",0.52%,10.03%,10.05%,0.03%,45.94%,18.05%,5.57%,29.56%,"$45,499 ",39
4.5,"29,774",0.52%,10.03%,10.05%,0.03%,45.94%,18.05%,5.57%,29.56%,"$45,499 ",39
3.5,"29,774",0.52%,10.03%,10.05%,0.03%,45.94%,18.05%,5.57%,29.56%,"$45,499 ",39
2.5,"29,774",0.52%,10.03%,10.05%,0.03%,45.94%,18.05%,5.57%,29.56%,"$45,499 ",39
3.5,"29,774",0.52%,10.03%,10.05%,0.03%,45.94%,18.05%,5.57%,29.56%,"$45,499 ",39
4,"29,774",0.52%,10.03%,10.05%,0.03%,45.94%,18.05%,5.57%,29.56%,"$45,499 ",39
4,"36,668",0.27%,17.48%,3.58%,0.29%,25.02%,40.10%,2.44%,52.57%,"$41,998 ",31
2,"36,668",0.27%,17.48%,3.58%,0.29%,25.02%,40.10%,2.44%,52.57%,"$41,998 ",31
4.5,"36,668",0.27%,17.48%,3.58%,0.29%,25.02%,40.10%,2.44%,52.57%,"$41,998 ",31
4,"36,668",0.27%,17.48%,3.58%,0.29%,25.02%,40.10%,2.44%,52.57%,"$41,998 ",31
3,"36,668",0.27%,17.48%,3.58%,0.29%,25.02%,40.10%,2.44%,52.57%,"$41,998 ",31
4,"36,668",0.27%,17.48%,3.58%,0.29%,25.02%,40.10%,2.44%,52.57%,"$41,998 ",31
2,"36,668",0.27%,17.48%,3.58%,0.29%,25.02%,40.10%,2.44%,52.57%,"$41,998 ",31
4.5,"53,861",0.35%,19.62%,10.43%,0.29%,39.57%,10.98%,4.95%,25.64%,"$75,714 ",26
3.5,"53,861",0.35%,19.62%,10.43%,0.29%,39.57%,10.98%,4.95%,25.64%,"$75,714 ",26
4.5,"53,861",0.35%,19.62%,10.43%,0.29%,39.57%,10.98%,4.95%,25.64%,"$75,714 ",26
4.5,"53,861",0.35%,19.62%,10.43%,0.29%,39.57%,10.98%,4.95%,25.64%,"$75,714 ",26
3.5,"53,861",0.35%,19.62%,10.43%,0.29%,39.57%,10.98%,4.95%,25.64%,"$75,714 ",26
3.5,"53,861",0.35%,19.62%,10.43%,0.29%,39.57%,10.98%,4.95%,25.64%,"$75,714 ",26
4,"53,861",0.35%,19.62%,10.43%,0.29%,39.57%,10.98%,4.95%,25.64%,"$75,714 ",26
4,"53,861",0.35%,19.62%,10.43%,0.29%,39.57%,10.98%,4.95%,25.64%,"$75,714 ",26
3,"27,272",0.03%,7.49%,6.49%,0.13%,70.81%,4.36%,5.74%,10.62%,"$89,337 ",10
4.5,"27,272",0.03%,7.49%,6.49%,0.13%,70.81%,4.36%,5.74%,10.62%,"$89,337 ",10
4,"37,965",0.16%,16.37%,6.11%,0.21%,63.09%,5.47%,3.79%,10.47%,"$80,539 ",20
4,"37,965",0.16%,16.37%,6.11%,0.21%,63.09%,5.47%,3.79%,10.47%,"$80,539 ",20
4,"37,965",0.16%,16.37%,6.11%,0.21%,63.09%,5.47%,3.79%,10.47%,"$80,539 ",20
4,"37,965",0.16%,16.37%,6.11%,0.21%,63.09%,5.47%,3.79%,10.47%,"$80,539 ",20
2.5,"37,965",0.16%,16.37%,6.11%,0.21%,63.09%,5.47%,3.79%,10.47%,"$80,539 ",20
4,"37,965",0.16%,16.37%,6.11%,0.21%,63.09%,5.47%,3.79%,10.47%,"$80,539 ",20
3.5,"37,965",0.16%,16.37%,6.11%,0.21%,63.09%,5.47%,3.79%,10.47%,"$80,539 ",20
3.5,"37,965",0.16%,16.37%,6.11%,0.21%,63.09%,5.47%,3.79%,10.47%,"$80,539 ",20
3.5,"37,965",0.16%,16.37%,6.11%,0.21%,63.09%,5.47%,3.79%,10.47%,"$80,539 ",20
3,"37,965",0.16%,16.37%,6.11%,0.21%,63.09%,5.47%,3.79%,10.47%,"$80,539 ",20
4,"37,965",0.16%,16.37%,6.11%,0.21%,63.09%,5.47%,3.79%,10.47%,"$80,539 ",20
3,"37,965",0.16%,16.37%,6.11%,0.21%,63.09%,5.47%,3.79%,10.47%,"$80,539 ",20
4.5,"37,965",0.16%,16.37%,6.11%,0.21%,63.09%,5.47%,3.79%,10.47%,"$80,539 ",20
4.5,"67,640",1.42%,1.10%,16.13%,0.00%,1.63%,34.46%,2.26%,80.00%,"$35,424 ",28
4,"67,640",1.42%,1.10%,16.13%,0.00%,1.63%,34.46%,2.26%,80.00%,"$35,424 ",28
4,"67,640",1.42%,1.10%,16.13%,0.00%,1.63%,34.46%,2.26%,80.00%,"$35,424 ",28
4.5,"67,640",1.42%,1.10%,16.13%,0.00%,1.63%,34.46%,2.26%,80.00%,"$35,424 ",28
2.5,"28,580",0.61%,5.06%,6.63%,0.02%,30.40%,35.14%,5.27%,54.34%,"$47,116 ",27
4,"28,580",0.61%,5.06%,6.63%,0.02%,30.40%,35.14%,5.27%,54.34%,"$47,116 ",27
3.5,"28,580",0.61%,5.06%,6.63%,0.02%,30.40%,35.14%,5.27%,54.34%,"$47,116 ",27
4,"28,580",0.61%,5.06%,6.63%,0.02%,30.40%,35.14%,5.27%,54.34%,"$47,116 ",27
4.5,"28,580",0.61%,5.06%,6.63%,0.02%,30.40%,35.14%,5.27%,54.34%,"$47,116 ",27
2,"28,580",0.61%,5.06%,6.63%,0.02%,30.40%,35.14%,5.27%,54.34%,"$47,116 ",27
4.5,"28,580",0.61%,5.06%,6.63%,0.02%,30.40%,35.14%,5.27%,54.34%,"$47,116 ",27
4,"28,580",0.61%,5.06%,6.63%,0.02%,30.40%,35.14%,5.27%,54.34%,"$47,116 ",27
3.5,"29,510",2.61%,16.24%,1.37%,0.15%,39.43%,16.62%,5.24%,38.59%,"$90,538 ",11
4,"29,510",2.61%,16.24%,1.37%,0.15%,39.43%,16.62%,5.24%,38.59%,"$90,538 ",11
5,"29,510",2.61%,16.24%,1.37%,0.15%,39.43%,16.62%,5.24%,38.59%,"$90,538 ",11
3,"29,510",2.61%,16.24%,1.37%,0.15%,39.43%,16.62%,5.24%,38.59%,"$90,538 ",11
3.5,"29,510",2.61%,16.24%,1.37%,0.15%,39.43%,16.62%,5.24%,38.59%,"$90,538 ",11
2.5,"29,510",2.61%,16.24%,1.37%,0.15%,39.43%,16.62%,5.24%,38.59%,"$90,538 ",11
4,"45,873",0.63%,1.43%,60.90%,0.19%,4.54%,13.08%,3.35%,30.24%,"$54,729 ",7
1.5,"99,443",0.57%,0.71%,32.70%,0.07%,0.94%,36.07%,1.92%,65.03%,"$35,981 ",10
2.5,"50,900",0.30%,6.17%,4.81%,0.16%,73.06%,4.00%,5.46%,11.20%,"$72,266 ",26
4.5,"50,900",0.30%,6.17%,4.81%,0.16%,73.06%,4.00%,5.46%,11.20%,"$72,266 ",26
3.5,"50,900",0.30%,6.17%,4.81%,0.16%,73.06%,4.00%,5.46%,11.20%,"$72,266 ",26
4,"50,900",0.30%,6.17%,4.81%,0.16%,73.06%,4.00%,5.46%,11.20%,"$72,266 ",26
4,"50,900",0.30%,6.17%,4.81%,0.16%,73.06%,4.00%,5.46%,11.20%,"$72,266 ",26
3.5,"50,900",0.30%,6.17%,4.81%,0.16%,73.06%,4.00%,5.46%,11.20%,"$72,266 ",26
3.5,"50,900",0.30%,6.17%,4.81%,0.16%,73.06%,4.00%,5.46%,11.20%,"$72,266 ",26
4.5,"50,900",0.30%,6.17%,4.81%,0.16%,73.06%,4.00%,5.46%,11.20%,"$72,266 ",26
4,"50,900",0.30%,6.17%,4.81%,0.16%,73.06%,4.00%,5.46%,11.20%,"$72,266 ",26
3,"50,900",0.30%,6.17%,4.81%,0.16%,73.06%,4.00%,5.46%,11.20%,"$72,266 ",26
3,"50,900",0.30%,6.17%,4.81%,0.16%,73.06%,4.00%,5.46%,11.20%,"$72,266 ",26
4,"50,900",0.30%,6.17%,4.81%,0.16%,73.06%,4.00%,5.46%,11.20%,"$72,266 ",26
3.5,"50,900",0.30%,6.17%,4.81%,0.16%,73.06%,4.00%,5.46%,11.20%,"$72,266 ",26
