Zip Code,"Total Population, All Races",American Indian & Alaska Native,Asian,Black or African American,Native Hawaiian & Other Pacific Islander,White (Not Hispanic or Latino),Some Other Race,Two or More Races,Hispanic or Latino
91406,"54,890",0.40%,9.03%,4.51%,0.01%,26.27%,38.37%,4.20%,56.76%
91411,"26,111",0.03%,7.51%,5.59%,0.08%,34.62%,18.84%,2.77%,50.16%
91423,"33,172",0.10%,6.07%,6.50%,0.00%,68.12%,2.03%,5.93%,14.62%
91436,"15,292",0.19%,5.47%,1.55%,0.13%,81.08%,1.96%,3.04%,8.54%
91504,"26,749",0.32%,13.83%,3.59%,0.03%,54.27%,10.62%,3.64%,23.16%
91601,"36,841",0.22%,7.26%,7.46%,0.14%,47.15%,9.07%,5.14%,34.68%
91602,"19,672",0.41%,8.40%,5.19%,0.45%,64.44%,7.29%,5.73%,17.12%
91604,"32,910",0.30%,8.35%,4.71%,0.22%,73.18%,1.84%,4.75%,9.57%
91605,"53,113",0.81%,8.86%,3.55%,0.00%,27.23%,22.41%,2.98%,59.32%
91606,"44,295",0.25%,5.16%,4.29%,0.67%,35.72%,17.40%,3.14%,53.04%
91607,"30,611",0.20%,6.43%,6.09%,0.04%,63.56%,3.92%,5.10%,20.48%
